"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","intro","joaff3","joaff4","joagg3","joagg4","joinc3","joinc4","jonon3","jorew2","jorew3","joself3","josex2","josex3","imgaff5","imgagg5","imginc5","imgnon4","imgnon5","imgrew4","imgrew5","imgself4","imgself5","imgsex4","imgsex5","vidaff1","vidaff2","vidagg1","vidagg2","vidinc1","vidinc2","vidnon2","vidrew1","vidrew2","vidsex1","vidself2","vidnon1","attention_check","cheerfulness_4","measure_25","measure_26","measure_27","measure_28","measure_29","measure_30","measure_31","measure_32","measure_33","measure_34","measure_35","measure_36","measure_37","measure_38","measure_39","measure_40","measure_41","gender","age","techissues","vidaudCHECK","comment"
"2021-02-21 00:13:23","2021-02-21 00:26:21","0","IP-0.250431750492567","100","778","1","2021-02-21 00:26:22","ID-2.29971119111494","","","","","anonymous","EN","4","4","5","6","1","5","6","1","5","6","5","6","5","4","6","6","1","1","3","4","5","5","7","7","7","2","7","4","6","5","6","7","6","5","6","1","2","4","2","2","1","1","3","3","2","3","1","1","1","2","2","4","3","3","1","4","61","1","1",""
"2021-02-21 00:21:59","2021-02-21 00:32:17","0","IP2.08273745701563","100","618","1","2021-02-21 00:32:17","ID0.0939323805079858","","","","","anonymous","EN","4","3","1","1","1","1","1","1","1","1","1","3","2","5","5","1","6","1","5","6","2","3","2","3","5","1","6","5","5","2","7","3","5","7","5","2","3","1","2","4","2","1","1","4","2","2","1","3","2","4","2","2","1","3","1","4","22","1","1",""
"2021-02-21 00:22:41","2021-02-21 00:34:28","0","IP1.58888060745227","100","707","1","2021-02-21 00:34:28","ID-1.18836169996621","","","","","anonymous","EN","4","1","1","1","1","1","1","1","1","1","1","2","1","2","3","2","1","1","1","2","7","1","1","1","1","1","3","1","1","1","5","4","1","1","7","1","2","3","2","2","2","2","3","2","3","3","3","1","3","1","2","3","3","2","2","5","38","1","1",""
"2021-02-21 00:39:38","2021-02-21 00:49:57","0","IP-2.88327635450029","100","618","1","2021-02-21 00:49:57","ID0.2088757048344","","","","","anonymous","EN","4","1","1","5","6","1","5","2","5","4","2","3","5","3","5","3","1","1","1","4","5","3","6","5","4","1","2","4","2","7","3","5","7","5","5","1","2","3","3","1","1","3","2","4","2","3","2","1","2","2","3","3","3","1","3","5","33","1","1",""
"2021-02-21 00:39:49","2021-02-21 00:51:09","0","IP1.46298388292505","100","680","1","2021-02-21 00:51:10","ID-0.0043481158233279","","","","","anonymous","EN","4","2","5","2","1","2","2","3","2","5","3","4","1","2","2","2","2","1","2","3","3","2","2","3","4","3","5","5","3","3","6","4","6","6","3","3","2","1","2","4","3","1","1","2","1","3","1","3","3","3","2","3","1","3","1","4","27","1","1",""
"2021-02-21 00:58:28","2021-02-21 01:07:49","0","IP0.459186457966435","100","560","1","2021-02-21 01:07:49","ID-1.20304845634703","","","","","anonymous","EN","4","2","4","3","3","4","4","4","4","5","5","5","3","5","5","5","3","3","2","5","5","4","6","4","5","5","4","4","5","5","7","3","5","6","5","2","2","3","2","2","3","2","3","2","3","2","2","1","2","2","3","3","3","2","2","4","34","1","1",""
"2021-02-21 01:02:13","2021-02-21 01:12:37","0","IP-0.028956761142654","100","623","1","2021-02-21 01:12:38","ID-1.12228325463435","","","","","anonymous","EN","4","1","1","2","1","1","1","2","1","4","1","1","1","1","1","5","1","2","1","1","4","2","1","1","4","3","2","1","1","1","6","2","1","6","1","1","2","1","1","2","1","1","1","2","1","1","1","1","2","2","1","1","1","2","1","4","51","1","1",""
"2021-02-21 00:46:00","2021-02-21 01:13:42","0","IP1.81725208491761","100","1661","1","2021-02-21 01:13:42","ID-0.156966129908158","","","","","anonymous","EN","4","6","7","7","5","5","5","6","5","7","6","5","5","7","5","6","3","6","6","7","7","7","4","2","5","6","7","4","7","6","5","7","6","4","2","4","2","1","2","4","4","2","1","4","2","4","2","3","3","2","1","4","2","4","1","4","23","2","1","Some of the videos I wouldn't there were funny but nice "
"2021-02-21 00:59:46","2021-02-21 01:20:31","0","IP0.951264047527414","100","1244","1","2021-02-21 01:20:32","ID-0.961103468633835","","","","","anonymous","EN","4","1","3","1","1","1","6","2","1","3","3","7","3","3","3","4","1","1","1","6","7","7","7","7","1","4","2","1","1","1","7","1","4","7","1","1","2","2","2","3","2","2","2","3","2","3","1","3","3","4","2","2","2","3","1","4","26","1","1",""
"2021-02-21 01:26:58","2021-02-21 01:38:45","0","IP0.187948370035275","100","706","1","2021-02-21 01:38:45","ID-2.01772624664278","","","","","anonymous","EN","4","1","1","1","1","1","1","1","1","5","2","1","4","1","1","3","3","1","4","4","1","1","2","4","3","1","2","1","2","4","1","2","2","4","3","5","2","3","2","2","2","2","2","3","2","3","2","2","3","2","2","2","2","2","3","5","32","1","1",""
"2021-02-21 01:34:23","2021-02-21 01:46:21","0","IP1.62190356598462","100","718","1","2021-02-21 01:46:22","ID-0.0116567967408526","","","","","anonymous","EN","4","1","4","1","1","1","1","1","2","3","1","5","3","6","3","3","1","1","7","5","5","4","1","4","5","1","6","2","1","1","4","7","1","6","1","1","2","2","2","3","4","2","2","3","2","2","2","3","3","2","2","2","2","3","2","7","25","1","1",""
"2021-02-21 01:35:02","2021-02-21 01:48:08","0","IP-0.934953826385341","100","786","1","2021-02-21 01:48:08","ID0.448936525504626","","","","","anonymous","EN","4","3","4","4","6","3","3","5","5","5","4","5","3","5","5","5","2","4","3","4","5","3","4","5","4","3","2","4","3","4","5","5","4","4","4","3","2","1","2","4","3","2","1","3","2","3","1","2","4","3","2","3","1","3","1","5","45","1","1",""
"2021-02-21 01:42:42","2021-02-21 01:54:13","0","IP-1.37432446182358","100","690","1","2021-02-21 01:54:13","ID-0.480440979532296","","","","","anonymous","EN","4","2","2","1","2","4","3","4","3","5","3","2","4","1","2","5","1","1","2","1","4","4","2","4","2","2","4","1","5","1","1","5","2","5","5","1","2","1","2","3","3","1","1","3","3","3","1","3","3","3","2","2","1","3","1","4","59","1","1",""
"2021-02-21 01:46:48","2021-02-21 01:57:26","0","IP0.641050149386139","100","638","1","2021-02-21 01:57:26","ID0.47883410467282","","","","","anonymous","EN","4","2","2","1","2","1","2","1","1","2","1","2","2","4","2","1","1","2","4","2","3","2","2","3","1","1","3","1","1","1","1","2","1","1","3","6","2","4","3","1","3","3","3","3","3","1","2","1","2","1","3","2","3","1","4","5","45","1","1",""
"2021-02-21 01:41:49","2021-02-21 01:58:25","0","IP-0.297142672234376","100","995","1","2021-02-21 01:58:25","ID0.554529854961093","","","","","anonymous","EN","4","3","3","2","4","1","1","1","2","3","4","2","2","1","2","2","1","1","2","2","4","4","2","3","1","1","4","5","4","1","1","2","1","5","1","1","2","1","3","3","3","1","1","2","3","1","1","1","3","1","3","2","1","1","1","4","40","1","1",""
"2021-02-21 01:50:12","2021-02-21 02:00:45","0","IP0.372683837889368","100","633","1","2021-02-21 02:00:46","ID1.15949016648216","","","","","anonymous","EN","4","2","4","2","3","1","3","5","4","3","4","5","3","6","4","4","1","3","5","3","5","5","3","5","5","1","7","3","3","6","7","5","5","5","6","1","2","1","1","3","3","1","1","4","2","2","1","3","2","2","1","3","1","3","1","4","20","1","1",""
"2021-02-21 01:51:48","2021-02-21 02:02:01","0","IP-0.782413142319054","100","612","1","2021-02-21 02:02:02","ID-2.27653250052917","","","","","anonymous","EN","4","1","1","1","5","3","1","1","1","1","3","2","1","4","5","1","1","1","7","4","7","5","1","1","6","1","1","1","1","1","7","1","5","7","1","1","2","2","3","3","4","1","1","3","3","3","1","1","3","3","3","3","1","2","1","4","22","1","1",""
"2021-02-21 01:46:38","2021-02-21 02:08:04","0","IP-0.891021828218856","100","1286","1","2021-02-21 02:08:05","ID0.157100225709822","","","","","anonymous","EN","4","2","5","3","2","3","2","2","4","3","5","5","3","6","6","5","1","2","3","6","6","6","5","4","7","3","4","6","5","5","7","6","5","6","5","1","3","2","2","3","3","2","2","3","2","3","1","2","2","3","2","3","1","3","2","4","30","1","1",""
"2021-02-21 01:57:40","2021-02-21 02:11:36","0","IP-0.413023203444878","100","835","1","2021-02-21 02:11:36","ID-0.777546957657406","","","","","anonymous","EN","4","4","1","1","4","1","2","1","6","4","5","5","5","1","6","2","1","1","1","1","5","1","5","4","6","4","2","1","4","2","6","3","6","6","2","1","2","2","2","3","1","1","1","2","2","3","1","2","3","2","2","2","2","3","1","4","53","1","1",""
"2021-02-21 02:21:52","2021-02-21 02:32:17","0","IP0.734562271097877","100","625","1","2021-02-21 02:32:18","ID1.07086532503859","","","","","anonymous","EN","4","1","1","2","6","1","2","1","2","1","2","3","2","2","6","2","1","2","2","4","5","5","5","3","5","1","7","3","1","1","6","2","1","5","4","3","2","3","3","2","3","3","2","2","1","1","2","1","1","2","3","3","2","2","3","4","29","1","1",""
"2021-02-21 02:18:20","2021-02-21 02:33:17","0","IP0.739131991532494","100","897","1","2021-02-21 02:33:18","ID-0.224494521037072","","","","","anonymous","EN","4","2","5","1","2","2","4","4","3","5","5","1","1","4","2","6","1","1","1","4","5","4","5","2","4","1","1","1","1","2","7","4","5","7","1","1","2","3","3","2","4","3","4","3","3","1","2","1","3","2","3","3","4","1","3","4","35","1","1",""
"2021-02-21 02:23:43","2021-02-21 02:34:32","0","IP-1.23490092594214","100","648","1","2021-02-21 02:34:32","ID-0.773651581109522","","","","","anonymous","EN","4","5","3","6","6","2","6","2","5","2","5","6","5","1","5","6","1","1","2","3","6","5","6","4","1","5","7","5","2","6","5","1","1","3","7","7","2","1","2","4","1","1","1","4","2","3","2","3","3","4","1","1","2","3","1","5","39","1","1",""
"2021-02-21 02:40:08","2021-02-21 02:52:00","0","IP-1.2118027782733","100","711","1","2021-02-21 02:52:00","ID-0.0778808814642108","","","","","anonymous","EN","4","1","5","2","3","4","5","2","4","5","5","2","2","4","3","5","1","2","2","7","5","4","5","2","3","3","5","2","5","5","1","4","5","6","7","6","2","1","2","3","3","2","1","3","3","3","2","3","3","3","2","3","2","3","3","5","36","1","1",""
"2021-02-21 02:48:28","2021-02-21 03:02:13","0","IP-1.86787779992929","100","824","1","2021-02-21 03:02:13","ID0.180313489810924","","","","","anonymous","EN","4","3","4","3","1","3","6","3","5","5","5","5","4","3","6","4","1","3","4","4","6","5","3","3","3","4","1","4","4","1","6","3","5","5","1","1","2","1","2","3","2","1","1","2","2","1","1","1","3","1","1","2","1","2","1","4","38","1","1",""
"2021-02-21 02:47:20","2021-02-21 03:05:04","0","IP-1.28196532252686","100","1063","1","2021-02-21 03:05:04","ID1.12202854995663","","","","","anonymous","EN","4","1","4","2","7","2","4","2","6","5","3","3","4","5","6","4","1","2","6","2","6","3","7","3","6","5","6","1","3","3","2","2","2","6","1","1","2","1","2","3","2","1","1","3","2","3","1","1","4","1","1","2","1","1","1","5","28","1","1",""
"2021-02-21 02:51:09","2021-02-21 03:07:17","0","IP0.519165432827613","100","968","1","2021-02-21 03:07:17","ID-0.486963938188554","","","","","anonymous","EN","4","2","3","1","1","3","2","1","2","4","2","4","5","2","3","6","3","1","1","2","2","2","1","3","7","3","1","2","6","3","4","1","3","7","4","1","2","2","3","4","2","1","1","4","1","4","1","3","3","3","3","3","2","4","2","5","67","1","1","Some of the jokes were very old and I have heard them several times, some I have not heard before so this affects my scoring."
"2021-02-21 03:05:24","2021-02-21 03:17:33","0","IP-0.996687423857591","100","728","1","2021-02-21 03:17:34","ID-0.273573885805664","","","","","anonymous","EN","4","1","4","1","1","1","1","1","1","1","2","2","2","5","5","4","4","1","6","5","5","5","3","1","2","2","6","1","2","1","4","1","3","5","1","1","2","2","3","2","2","2","3","4","3","2","1","1","3","2","3","3","3","1","2","5","30","1","1",""
"2021-02-21 03:09:16","2021-02-21 03:21:04","0","IP0.712008640112692","100","708","1","2021-02-21 03:21:05","ID-0.70737151370285","","","","","anonymous","EN","4","1","3","1","5","2","2","1","2","3","2","5","1","2","6","2","1","2","1","4","5","3","6","6","3","1","1","1","1","2","5","2","2","5","5","1","2","1","1","3","3","1","1","2","1","3","1","1","1","3","1","3","1","3","1","4","32","1","1",""
"2021-02-21 03:07:29","2021-02-21 03:23:38","0","IP-0.756289390640067","100","968","1","2021-02-21 03:23:38","ID-0.211620949264545","","","","","anonymous","EN","4","2","3","2","1","2","1","1","2","4","4","3","2","1","2","2","1","3","1","1","5","2","2","1","4","2","2","1","2","2","4","1","4","5","2","1","2","1","2","3","2","1","1","2","2","2","1","1","2","2","2","2","1","3","1","4","50","1","1",""
"2021-02-21 03:14:56","2021-02-21 03:28:27","0","IP1.50283743532354","100","810","1","2021-02-21 03:28:27","ID0.301715406962007","","","","","anonymous","EN","4","2","3","1","1","2","1","2","2","5","2","2","2","1","1","7","1","1","1","1","2","2","2","3","3","3","3","5","3","3","3","4","4","4","3","4","","2","3","3","4","2","2","3","3","1","1","3","3","2","2","4","2","2","2","4","56","2","1","Not all the videos loaded so I inputted an average score for these"
"2021-02-21 03:25:09","2021-02-21 03:37:49","0","IP0.12721851007833","100","760","1","2021-02-21 03:37:49","ID-0.598849299622847","","","","","anonymous","EN","4","2","2","1","1","1","1","1","1","2","1","1","2","1","3","2","1","1","1","1","3","1","3","5","2","2","2","3","1","1","7","7","3","4","2","2","2","1","2","1","4","2","1","2","2","3","1","1","1","2","4","2","1","1","2","4","45","1","1",""
"2021-02-21 03:39:14","2021-02-21 03:48:50","0","IP0.873289162377155","100","575","1","2021-02-21 03:48:50","ID-0.390546294557286","","","","","anonymous","EN","4","5","7","1","2","4","1","4","7","7","2","4","7","1","6","5","1","3","3","6","5","5","3","5","7","2","7","7","5","1","5","2","6","5","5","1","2","2","2","3","2","2","2","3","2","3","2","2","3","2","2","3","2","2","2","5","27","1","1",""
"2021-02-21 03:40:09","2021-02-21 03:50:33","0","IP-1.23290202220982","100","623","1","2021-02-21 03:50:33","ID1.25883302292974","","","","","anonymous","EN","4","2","3","2","4","3","2","3","4","4","4","4","3","2","4","4","3","2","3","5","4","4","4","3","5","1","6","1","4","4","4","4","4","4","1","2","2","2","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","4","28","1","1","The videos are too big for the screen"
"2021-02-21 03:43:07","2021-02-21 03:52:52","0","IP-0.247565705582003","100","584","1","2021-02-21 03:52:53","ID0.0605258938605564","","","","","anonymous","EN","4","3","3","2","2","3","2","3","3","4","3","2","3","2","3","4","2","3","2","2","3","3","2","2","3","2","2","2","3","3","4","2","3","3","3","2","2","3","2","1","3","3","3","3","2","2","2","1","2","2","3","2","3","1","3","5","34","1","1",""
"2021-02-21 03:38:42","2021-02-21 03:55:11","0","IP-1.06000687316354","100","988","1","2021-02-21 03:55:12","ID-0.153259460701191","","","","","anonymous","EN","4","2","2","1","1","2","4","4","5","5","5","6","2","2","3","4","5","5","4","5","6","4","5","2","6","2","5","2","4","5","5","4","5","5","4","6","2","3","3","3","3","2","2","3","3","3","2","2","3","3","3","3","2","2","2","5","21","1","1",""
"2021-02-21 03:48:20","2021-02-21 04:02:06","0","IP0.84615521283436","100","826","1","2021-02-21 04:02:06","ID0.380241613079713","","","","","anonymous","EN","4","4","4","5","6","3","6","5","5","6","5","5","4","5","5","7","2","4","5","5","3","3","4","5","5","2","3","4","4","5","5","4","3","6","5","2","2","2","2","2","1","2","2","3","3","3","2","1","3","3","2","2","2","1","2","5","62","1","1","Seen many of these before... I found fresh new ones funnier.
"
"2021-02-21 03:54:22","2021-02-21 04:05:03","0","IP0.403779932461612","100","640","1","2021-02-21 04:05:04","ID-0.237766014155414","","","","","anonymous","EN","4","3","1","3","3","1","5","2","2","4","4","4","1","4","5","2","1","4","3","2","7","3","3","2","1","5","5","2","1","5","2","1","2","4","5","5","2","2","3","2","3","2","2","3","2","1","2","2","2","2","3","2","2","1","2","5","29","1","1",""
"2021-02-21 03:54:43","2021-02-21 04:06:09","0","IP-1.30701720380783","100","685","1","2021-02-21 04:06:09","ID0.0883400840648052","","","","","anonymous","EN","4","3","5","2","6","2","2","2","3","4","5","4","2","6","4","3","4","1","6","6","6","5","4","5","5","2","7","3","3","1","5","6","4","5","1","6","2","1","3","3","1","3","3","3","2","2","1","2","2","3","2","2","1","3","3","4","20","1","1",""
"2021-02-21 03:58:06","2021-02-21 04:08:06","0","IP0.464081942165108","100","599","1","2021-02-21 04:08:07","ID1.43863328404245","","","","","anonymous","EN","4","3","2","1","1","1","2","2","1","1","3","4","3","4","4","4","1","2","5","5","5","2","1","5","6","3","6","6","5","1","7","7","2","5","4","2","2","1","3","3","3","1","1","3","2","2","1","2","4","3","2","2","1","3","1","4","20","1","1",""
"2021-02-21 04:02:57","2021-02-21 04:14:10","0","IP0.688508197770813","100","672","1","2021-02-21 04:14:11","ID1.37033654874269","","","","","anonymous","EN","4","3","2","4","5","3","5","7","5","4","5","5","3","5","2","6","6","1","6","4","6","2","7","3","7","5","7","4","3","6","2","7","3","4","5","4","2","2","2","3","1","2","1","3","1","3","2","2","2","3","1","3","1","3","1","4","23","1","1","No Comments"
"2021-02-21 04:03:57","2021-02-21 04:15:28","0","IP0.0562669735268952","100","691","1","2021-02-21 04:15:28","ID-0.460071566963156","","","","","anonymous","EN","4","5","5","1","2","5","4","1","7","7","5","6","5","7","5","5","1","4","5","5","7","5","3","5","6","3","7","3","5","2","3","6","4","3","3","5","","2","2","3","3","2","2","3","3","1","2","1","3","3","2","3","2","2","2","4","40","1","1","none"
"2021-02-21 04:04:58","2021-02-21 04:18:40","0","IP1.08594115482095","100","821","1","2021-02-21 04:18:40","ID0.255843028935677","","","","","anonymous","EN","4","4","5","5","6","2","4","1","2","5","6","6","2","7","4","3","1","2","2","6","6","5","6","2","1","3","6","4","5","5","6","5","3","4","3","4","2","1","1","3","1","2","1","3","1","4","1","3","1","3","1","4","1","3","2","4","28","1","1",""
"2021-02-21 04:12:22","2021-02-21 04:22:07","0","IP2.05174643679862","100","585","1","2021-02-21 04:22:08","ID-1.39583783950175","","","","","anonymous","EN","4","3","3","5","5","5","5","5","6","5","7","7","4","4","7","6","1","6","7","7","7","7","6","7","6","1","6","1","4","5","5","5","4","5","6","2","3","1","3","3","3","2","1","2","3","1","2","2","3","3","2","3","2","3","2","4","38","1","1",""
"2021-02-21 04:12:10","2021-02-21 04:24:13","0","IP1.46171117160182","100","722","1","2021-02-21 04:24:13","ID0.5973101782423","","","","","anonymous","EN","4","2","1","1","3","1","5","2","2","2","3","2","2","2","2","1","1","1","5","6","3","5","5","3","3","2","6","3","2","1","6","1","2","5","2","1","2","3","3","1","3","3","3","1","3","1","2","1","2","1","3","3","3","1","3","4","33","1","1",""
"2021-02-21 04:33:43","2021-02-21 04:45:42","0","IP-0.33675386663015","100","719","1","2021-02-21 04:45:43","ID-0.473309975391649","","","","","anonymous","EN","4","6","2","1","4","1","6","1","1","7","7","6","1","6","5","1","5","1","5","5","7","1","5","6","1","6","7","6","7","6","6","6","5","6","7","6","2","1","3","3","3","1","1","4","3","3","1","2","3","3","3","3","1","3","1","5","19","1","1",""
"2021-02-21 00:46:46","2021-02-21 00:57:23","0","IP-0.785804132657404","59","636","0","2021-02-21 04:57:25","ID-0.570002336885257","","","","","anonymous","EN","4","6","6","6","5","4","5","3","7","6","6","7","5","1","4","2","1","5","3","1","5","6","6","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-21 00:46:31","2021-02-21 00:58:06","0","IP1.94854337020336","80","694","0","2021-02-21 04:58:06","ID0.118479925296725","","","","","anonymous","EN","4","1","1","2","1","1","2","3","2","5","2","2","1","1","2","3","1","4","1","1","5","4","1","1","3","5","4","2","2","1","6","5","1","5","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-21 04:50:59","2021-02-21 05:01:26","0","IP-0.20183632714754","100","627","1","2021-02-21 05:01:26","ID1.26410686327497","","","","","anonymous","EN","4","4","3","3","5","1","2","4","4","2","4","5","3","2","3","4","1","1","2","4","4","3","3","4","5","3","5","2","3","1","6","2","4","5","5","1","2","1","1","3","3","1","3","2","2","1","1","2","4","3","2","2","1","2","1","4","19","1","1",""
"2021-02-21 04:57:13","2021-02-21 05:08:15","0","IP1.48864200995614","100","662","1","2021-02-21 05:08:16","ID0.28753956343618","","","","","anonymous","EN","4","4","2","1","1","1","2","1","1","4","4","7","5","6","3","5","1","1","7","5","5","3","6","7","3","1","5","1","6","1","5","6","6","5","3","1","2","2","3","3","4","2","1","2","3","2","1","1","2","2","3","2","1","1","2","4","21","1","1",""
"2021-02-21 05:01:39","2021-02-21 05:12:43","0","IP-0.103516759918065","100","664","1","2021-02-21 05:12:44","ID0.549121412212934","","","","","anonymous","EN","4","2","2","1","5","1","3","4","2","3","5","6","2","1","6","3","1","1","6","5","5","2","5","4","4","1","6","2","1","5","5","2","1","5","3","1","2","1","1","3","1","2","2","2","2","3","1","2","2","2","2","3","1","2","2","4","24","1","1",""
"2021-02-21 05:05:57","2021-02-21 05:15:10","0","IP-0.851287220331999","100","553","1","2021-02-21 05:15:11","ID-0.47370591907746","","","","","anonymous","EN","4","5","6","5","5","1","5","2","4","5","6","5","1","6","5","4","5","5","6","4","6","6","6","5","6","2","4","2","3","2","4","4","3","5","5","3","","3","2","1","2","3","3","3","2","3","2","2","2","2","2","2","3","1","3","4","20","1","1",""
"2021-02-21 05:03:40","2021-02-21 05:15:49","0","IP-0.558891671578041","100","728","1","2021-02-21 05:15:49","ID-0.654819803548174","","","","","anonymous","EN","4","1","1","1","2","1","1","1","1","1","1","1","2","3","1","1","1","1","1","1","1","1","1","1","3","1","4","2","4","4","3","4","4","4","4","3","2","2","2","2","2","2","2","3","2","3","2","1","3","2","2","2","2","2","2","5","22","1","1",""
"2021-02-21 05:19:07","2021-02-21 05:29:12","0","IP-0.181411641168085","100","605","1","2021-02-21 05:29:12","ID-0.91526094420205","","","","","anonymous","EN","4","2","1","1","2","2","2","2","3","4","1","2","2","2","3","1","2","2","4","2","2","2","5","3","4","2","5","2","2","2","3","2","2","2","2","4","2","2","3","3","2","2","2","3","3","2","2","2","3","3","3","3","2","3","2","5","21","1","1",""
"2021-02-21 05:18:10","2021-02-21 05:33:44","0","IP-0.558277191979936","100","934","1","2021-02-21 05:33:45","ID2.58683687672372","","","","","anonymous","EN","4","2","1","1","4","1","4","3","2","5","4","2","3","4","3","2","3","2","6","4","3","3","5","3","4","1","6","5","2","1","4","6","6","7","6","6","2","3","2","2","3","2","3","3","2","2","2","1","2","3","2","3","2","1","2","5","45","1","1",""
"2021-02-21 05:19:00","2021-02-21 05:33:53","0","IP0.656416869345643","100","892","1","2021-02-21 05:33:54","ID0.890135054151882","","","","","anonymous","EN","4","4","4","4","7","4","7","2","5","7","4","7","5","6","7","6","1","1","3","4","7","4","7","5","1","4","7","4","3","1","7","5","5","5","6","6","2","2","2","3","2","2","1","2","1","3","1","1","3","3","1","3","2","3","2","5","26","1","1",""
"2021-02-21 05:24:53","2021-02-21 05:37:12","0","IP-0.38809717075616","100","738","1","2021-02-21 05:37:12","ID-0.645111904500315","","","","","anonymous","EN","4","3","2","1","6","1","6","6","1","5","3","6","3","1","6","7","1","1","1","1","5","1","6","5","7","1","6","2","1","1","3","2","1","6","1","1","2","2","3","4","3","1","1","3","4","4","1","1","4","3","3","3","1","3","1","5","59","1","1",""
"2021-02-21 05:29:26","2021-02-21 05:41:15","0","IP-0.147911315562334","100","709","1","2021-02-21 05:41:15","ID-2.11173726441145","","","","","anonymous","EN","4","3","4","3","1","4","1","3","1","4","5","4","5","4","5","5","1","3","3","3","5","3","5","3","4","3","5","2","4","2","4","3","2","3","4","1","2","1","3","3","4","1","1","2","2","2","1","2","2","2","3","3","1","3","1","4","31","1","1",""
"2021-02-21 05:31:39","2021-02-21 05:41:34","0","IP-0.294762527019845","100","595","1","2021-02-21 05:41:35","ID-1.78612848016294","","","","","anonymous","EN","4","3","3","2","2","1","2","1","1","3","1","2","2","5","4","4","4","1","4","3","3","2","2","2","4","4","6","1","1","5","5","2","1","2","1","1","2","1","2","3","3","2","1","3","3","4","2","2","3","3","3","3","2","2","2","4","20","1","1",""
"2021-02-21 05:31:04","2021-02-21 05:42:41","0","IP-1.73050112665499","100","696","1","2021-02-21 05:42:41","ID0.203068149736783","","","","","anonymous","EN","4","4","2","5","1","3","5","1","2","4","4","5","1","1","2","1","1","2","1","2","4","1","5","5","4","4","2","1","4","1","6","4","3","2","5","1","2","1","2","2","4","1","1","2","1","2","1","2","2","3","2","3","1","2","1","5","52","1","1","none"
"2021-02-21 05:34:54","2021-02-21 05:47:27","0","IP0.786072862633751","100","752","1","2021-02-21 05:47:27","ID0.349692653557566","","","","","anonymous","EN","4","2","2","1","1","1","1","1","1","3","3","1","2","7","2","4","2","1","1","1","7","2","1","1","3","2","2","1","3","1","5","3","3","2","1","1","2","2","2","3","4","1","1","2","2","1","1","1","1","1","3","4","1","1","1","4","39","1","1",""
"2021-02-21 05:28:44","2021-02-21 05:55:21","0","IP1.01929067295251","100","1596","1","2021-02-21 05:55:21","ID-0.478532963991939","","","","","anonymous","EN","4","5","5","5","5","4","4","5","5","6","4","5","4","5","6","5","4","4","4","5","5","6","5","6","6","5","5","6","5","5","4","6","6","6","6","6","2","3","3","3","4","2","2","3","2","2","2","2","2","3","3","3","2","4","2","5","31","1","1","N/A"
"2021-02-21 05:49:45","2021-02-21 06:02:48","0","IP-0.788063605209532","100","783","1","2021-02-21 06:02:49","ID-0.461815327399859","","","","","anonymous","EN","4","1","1","1","1","3","1","2","4","2","4","2","1","2","1","3","1","1","1","1","2","3","1","2","2","2","1","1","2","1","6","1","2","4","3","1","2","2","3","3","2","3","2","2","3","2","2","1","3","2","3","3","2","2","2","4","59","1","1",""
"2021-02-21 05:54:37","2021-02-21 06:05:32","0","IP0.313811330989144","100","655","1","2021-02-21 06:05:32","ID-0.0551582701755231","","","","","anonymous","EN","4","2","3","1","2","1","1","1","4","1","4","4","2","4","5","4","2","2","2","4","5","2","5","2","1","2","5","3","3","3","6","3","3","5","2","2","2","1","3","2","4","3","2","2","2","2","2","1","3","2","3","4","2","2","2","4","33","1","1",""
"2021-02-21 05:51:54","2021-02-21 06:06:23","0","IP-0.687865962704439","100","869","1","2021-02-21 06:06:23","ID1.11915952888835","","","","","anonymous","EN","4","1","4","1","1","4","4","5","5","6","5","5","6","4","1","6","1","2","1","5","5","4","1","2","5","1","1","2","4","3","7","4","4","6","3","1","2","3","3","2","3","1","2","3","2","2","1","2","2","2","2","3","3","2","2","4","49","1","1",""
"2021-02-21 02:06:06","2021-02-21 02:11:42","0","IP-1.32434787199248","67","335","0","2021-02-21 06:11:42","ID-0.441920176117133","","","","","anonymous","EN","4","1","4","2","1","1","3","2","2","6","4","1","1","1","1","5","1","1","2","5","4","1","1","1","5","1","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-21 06:02:33","2021-02-21 06:13:44","0","IP1.14915666404603","100","670","1","2021-02-21 06:13:45","ID0.562345412237271","","","","","anonymous","EN","4","5","3","4","4","4","3","5","3","5","5","5","5","6","6","5","1","1","4","7","6","6","3","4","6","5","6","2","4","1","7","4","4","5","4","1","2","1","3","4","2","1","1","3","2","2","1","2","3","3","2","3","1","3","1","4","31","1","1",""
"2021-02-21 06:02:57","2021-02-21 06:13:59","0","IP1.96391869218842","100","661","1","2021-02-21 06:13:59","ID1.14879773645047","","","","","anonymous","EN","4","1","3","2","3","1","2","2","3","3","2","2","3","3","3","2","3","3","2","1","4","3","2","3","1","6","2","4","3","1","5","1","5","4","5","4","2","2","3","2","3","2","1","2","2","1","2","1","3","2","3","2","1","1","2","5","25","1","1","Thank you and good luck!"
